Vitel Mobile Inc,,,,,,,,,,,,,,,,
Inventory Valuation Summary,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
,Part #,Description,,,Asset Account,,,,,Qty,, ,,Unit Cost,Asset Value,
,HY TITAN5KLGDD,HYUNDAI 5K TITAN LTE GOLD DS,,,Default,,,,,45,,ea,,$ 80.72,"$ 3,632.59",
,HY TITAN5KLWHD,HYUNDAI 5K TITAN LTE WHITE DS,,,Default,,,,,9,,ea,,$ 80.21,$ 721.85,
,HY W215BKD,HYUNDAI W215 BLACK DS,,,Default,,,,,2,,ea,,$ 50.68,$ 101.36,
,,,,,,,,,,,,,Location Total:,,"$ 98,519.99",
Stock,,,,,,,,,,,,,,,,
,AC GFB16,GIFT BOX MEMORY CARD 16GB,,,Default,,,,,"10,084",,ea,,$ 0.15,"$ 1,512.60",
,AC GFB32,GIFT BOX MEMORY CARD 32GB,,,Default,,,,,"22,890",,ea,,$ 0.15,"$ 3,433.50",
,AC SM EF-OF94PCBEGWW,SAMSUNG GALAXY Z FOLD 5 SLIM S PEN CASE BLACK,,,Default,,,,,1,,ea,,$ 45.00,$ 45.00,
,AC SM EF-OF94PCLEGWW,SAMSUNG GALAXY Z FOLD 5 SLIM S PEN CASE BLUE,,,Default,,,,,3,,ea,,$ 45.00,$ 135.00,
,AC SM EF-OF94PCUEGWW,SAMSUNG GALAXY Z FOLD 5 SLIM S PEN CASE BEIGE,,,Default,,,,,2,,ea,,$ 45.00,$ 90.00,
,AC SM EF-PS928TEEGWW,SAMSUNG GALAXY S24 ULTRA SILICON CASE PURPLE,,,Default,,,,,5,,ea,,$ 12.00,$ 60.00,
,AC SM EF-PS928TGEGWW,SAMSUNG GALAXY S24 ULTRA SILICON CASE GREEN,,,Default,,,,,1,,ea,,$ 12.00,$ 12.00,
,AC SM EF-PS928TVEGWW,SAMSUNG GALAXY S24 ULTRA SILICON CASE VIOLET,,,Default,,,,,19,,ea,,$ 12.00,$ 228.00,
,AC SM EF-PS928TWEGWW,SAMSUNG GALAXY S24 ULTRA SILICON CASE WHITE,,,Default,,,,,2,,ea,,$ 12.00,$ 24.00,
,AC SM EF-ZF731CTEGWW,SAMSUNG GALAXY Z FLIP 5 FLIPSUIT CASE CLEAR,,,Default,,,,,4,,ea,,$ 20.00,$ 80.00,
,AC SM EI-T5600KWEGWW,SAMSUNG GALAXY SMART TAG 2 BLACK AND WHITE BUNDLE (4),,,Default,,,,,"1,005",,ea,,$ 50.00,"$ 50,250.00",
,AC SM EP-T2510NBTGTW,SAMSUNG TRAVEL ADAPTER 25W TYPE C BLACK(8806095012896),,,Default,,,,,50,,ea,,$ 10.00,$ 499.99,
,AC SM EP-T2510NWTGTW,SAMSUNG TRAVEL ADAPTER 25W TYPE C WHITE(8806095012872),,,Default,,,,,282,,ea,,$ 10.00,"$ 2,820.00",
,AC SM EP-T4510XBEGCA,SAMSUNG TRAVEL ADAPTER 45W BLACK,,,Default,,,,,2,,ea,,$ 22.50,$ 45.00,
,AC SM SDCARD128,SAMSUNG SD CARD 128GB,,,Default,,,,,1,,ea,,$ 0.00,$ 0.00,
,AL 4060ABLES,ALCATEL IDEAL 4060A BLUE,,,Default,,,,,4,,ea,,$ 33.00,$ 132.00,
,AP IP12PBK,IPHONE 12 PRO 256GB BLACK,,,Default,,,,,1,,ea,,$ 499.00,$ 499.00,
,AP IP12PM256BL,IPHONE 12 PRO MAX 256GB BLUE,,,Default,,,,,1,,ea,,$ 623.00,$ 623.00,
,DFM-TN-01,RESPIRATORY FACE MASK (3PLY),,,Default,,,,,"1,410",,ea,,$ 0.30,$ 418.94,
,DU IC200C,DUO PLAY PROJECTOR,,,Default,,,,,8,,ea,,$ 39.00,$ 312.00,
,DW SMDF130AWHBLD,DAEWOO SAPHIRE WHITE/BLUE DS,,,Default,,,,,20,,ea,,$ 10.75,$ 215.00,
,FS-EVP-01,FACE SHIELD,,,Default,,,,,"1,742",,ea,,$ 1.12,"$ 1,945.98",
,HU Y360BKES,HUAWEI Y3 LITE BLACK,,,Default,,,,,2,,ea,,$ 40.75,$ 81.50,
,HY D275BKS,HYUNDAI D275 BLACK SS,,,Default,,,,,88,,ea,,$ 11.42,"$ 1,005.21",
,HY E485BK,HYUNDAI E485 BLACK,,,Default,,,,,1,,ea,,$ 32.65,$ 32.65,
,HY E485BL,HYUNDAI E485 BLUE,,,Default,,,,,1,,ea,,$ 32.65,$ 32.65,
,HY E504BLDS,HYUNDAI E504 BLUE DS,,,Default,,,,,4,,ea,,$ 32.75,$ 131.00,
,HY E504GRDS,HYUNDAI E504 GRAY DS,,,Default,,,,,11,,ea,,$ 38.98,$ 428.80,
,HY E553BLDS,HYUNDAI E553 BLUE DS,,,Default,,,,,1,,ea,,$ 38.48,$ 38.48,
,HY E553GNDS,HYUNDAI E553 GREEN DS,,,Default,,,,,3,,ea,,$ 38.56,$ 115.68,
,HY L1ERBBK,HYUNDAI EARBUDS L1 BLACK,,,Default,,,,,1,,ea,,$ 2.65,$ 2.65,
,HY L285BK,HYUNDAI L285 BLACK,,,Default,,,,,1,,ea,,$ 12.85,$ 12.85,
,HY L500UBKS,HYUNDAI L500U BLACK,,,Default,,,,,30,,ea,,$ 57.33,"$ 1,719.95",
,HY L604GD,HYUNDAI L604 GOLD,,,Default,,,,,20,,ea,,$ 58.50,"$ 1,170.00",
,HY L604GN,HYUNDAI L604 GREEN,,,Default,,,,,62,,ea,,$ 58.45,"$ 3,624.18",
,HY L604GR,HYUNDAI L604 GRAY,,,Default,,,,,140,,ea,,$ 58.50,"$ 8,189.49",
,HY L610GN,HYUNDAI L610 GREEN,,,Default,,,,,1,,ea,,$ 66.00,$ 66.00,
,HY L651BK,HYUNDAI L651 BLACK,,,Default,,,,,1,,ea,,$ 79.90,$ 79.90,
,HY L651BL,HYUNDAI L651 BLUE,,,Default,,,,,2,,ea,,$ 79.90,$ 159.80,
,HY L651GN,HYUNDAI L651 GREEN,,,Default,,,,,3,,ea,,$ 79.90,$ 239.70,
,HY P260GN,HYUNDAI P260 SMARTWATCH GREEN,,,Default,,,,,4,,ea,,$ 26.50,$ 106.00,
,HY P270BK/BK,HYUNDAI P270 SMART WATCH BLACK/BLACK,,,Default,,,,,6,,ea,,$ 14.10,$ 84.60,
,HY P270BK/PK,HYUNDAI P270 SMART WATCH BLACK/PINK,,,Default,,,,,4,,ea,,$ 14.10,$ 56.40,
,HY P280BK/BK,HYUNDAI P280 SMART WATCH BLACK/BLACK,,,Default,,,,,1,,ea,,$ 20.00,$ 20.00,
,HY P280BK/PK,HYUNDAI P280 SMART WATCH BLACK/PINK,,,Default,,,,,1,,ea,,$ 20.00,$ 20.00,
,KN95-A,RESPIRATORY FACE MASK (KN95),,,Default,,,,,400,,ea,,$ 1.76,$ 704.46,
,SM A155MZKGTPA,SAMSUNG GALAXY A15 6+128GB BLUE BLACK,,,Default,,,,,1,,ea,,$ 110.00,$ 110.00,
,SM G780FZRK,SAMSUNG GALAXY S20 FE 256GB RED DS,,,Default,,,,,2,,ea,,$ 523.00,"$ 1,046.00",
